,RieNs TH,benjyfishy TH,MiniBoo TH,Wo0t TH,Boo TH
MrFaliN FUT,,2 1 +1,1 0 +1,0 2 -2,1 0 +1
xeus FUT,,,0 3 -3,2 1 +1,0 1 -1
qRaxs FUT,,,,,0 1 -1
yetujey FUT,,,2 0 +2,,
cNed FUT,,1 0 +1,1 0 +1,,
