,RieNs TH,benjyfishy TH,MiniBoo TH,Wo0t TH,Boo TH
MrFaliN FUT,,2 1 +1,1 1 +0,0 3 -3,1 0 +1
xeus FUT,1 0 +1,2 1 +1,3 4 -1,4 2 +2,0 1 -1
qRaxs FUT,,,,,0 1 -1
yetujey FUT,,,3 1 +2,1 0 +1,0 1 -1
cNed FUT,1 0 +1,1 0 +1,1 0 +1,0 2 -2,
