,RieNs TH,benjyfishy TH,MiniBoo TH,Wo0t TH,Boo TH
MrFaliN FUT,,,0 1 -1,0 1 -1,
xeus FUT,1 0 +1,2 1 +1,3 1 +2,2 1 +1,
qRaxs FUT,,,,,
yetujey FUT,,,1 1 +0,1 0 +1,0 1 -1
cNed FUT,1 0 +1,,,0 2 -2,
