,RieNs TH,benjyfishy TH,MiniBoo TH,Wo0t TH,Boo TH
MrFaliN FUT,2 3 -1,2 2 +0,0 2 -2,1 5 -4,0 3 -3
xeus FUT,4 2 +2,4 8 -4,6 2 +4,7 1 +6,3 2 +1
qRaxs FUT,0 4 -4,4 3 +1,1 3 -2,0 2 -2,1 5 -4
yetujey FUT,3 2 +1,0 4 -4,4 1 +3,4 5 -1,3 2 +1
cNed FUT,4 4 +0,0 3 -3,0 3 -3,2 3 -1,4 2 +2
