,N4RRATE SEN,zekken SEN,bang SEN,johnqt SEN,Zellsis SEN
Knight BLG,4 2 +2,1 7 -6,3 0 +3,4 2 +2,2 4 -2
rushia BLG,1 6 -5,3 7 -4,3 3 +0,4 1 +3,1 1 +0
whzy BLG,3 4 -1,3 4 -1,1 0 +1,1 1 +0,5 7 -2
Levius BLG,4 1 +3,4 4 +0,3 2 +1,1 3 -2,1 2 -1
nephh BLG,4 2 +2,2 1 +1,2 4 -2,1 3 -2,2 2 +0
