,N4RRATE SEN,zekken SEN,bang SEN,johnqt SEN,Zellsis SEN
Knight BLG,,0 2 -2,,,
rushia BLG,,1 2 -1,2 0 +2,2 0 +2,
whzy BLG,1 1 +0,0 3 -3,1 0 +1,0 1 -1,1 1 +0
Levius BLG,,0 1 -1,0 1 -1,,0 1 -1
nephh BLG,,1 0 +1,,,
