,N4RRATE SEN,zekken SEN,bang SEN,johnqt SEN,Zellsis SEN
Knight BLG,1 0 +1,,,0 1 -1,
rushia BLG,2 0 +2,1 0 +1,1 0 +1,0 1 -1,0 1 -1
whzy BLG,1 0 +1,0 2 -2,1 0 +1,,
Levius BLG,,1 1 +0,0 1 -1,,
nephh BLG,0 1 -1,1 0 +1,,0 1 -1,
