,N4RRATE SEN,zekken SEN,bang SEN,johnqt SEN,Zellsis SEN
Knight BLG,8 5 +3,4 14 -10,4 7 -3,9 6 +3,2 10 -8
rushia BLG,9 11 -2,8 13 -5,15 6 +9,11 6 +5,4 9 -5
whzy BLG,11 10 +1,9 13 -4,7 6 +1,7 6 +1,19 11 +8
Levius BLG,9 4 +5,10 10 +0,6 6 +0,4 8 -4,5 7 -2
nephh BLG,8 7 +1,7 6 +1,6 9 -3,8 11 -3,8 8 +0
