,N4RRATE SEN,zekken SEN,bang SEN,johnqt SEN,Zellsis SEN
Knight BLG,2 2 +0,0 5 -5,0 2 -2,2 3 -1,0 2 -2
rushia BLG,3 2 +1,3 3 +0,4 2 +2,1 2 -1,1 5 -4
whzy BLG,3 3 +0,0 5 -5,2 2 +0,5 2 +3,6 3 +3
Levius BLG,2 1 +1,2 4 -2,1 3 -2,0 2 -2,2 2 +0
nephh BLG,0 2 -2,3 3 +0,1 3 -2,2 5 -3,3 4 -1
