,N4RRATE SEN,zekken SEN,bang SEN,johnqt SEN,Zellsis SEN
Knight BLG,1 0 +1,0 2 -2,,0 1 -1,0 1 -1
rushia BLG,3 1 +2,2 3 -1,3 0 +3,2 1 +1,0 1 -1
whzy BLG,3 1 +2,0 7 -7,4 2 +2,1 1 +0,3 1 +2
Levius BLG,,1 2 -1,0 2 -2,0 1 -1,0 1 -1
nephh BLG,2 2 +0,2 1 +1,,1 2 -1,0 1 -1
