,N4RRATE SEN,zekken SEN,bang SEN,johnqt SEN,Zellsis SEN
Knight BLG,,,,,0 1 -1
rushia BLG,1 1 +0,0 1 -1,,,
whzy BLG,1 0 +1,0 2 -2,2 2 +0,1 0 +1,2 0 +2
Levius BLG,,,,0 1 -1,
nephh BLG,2 1 +1,0 1 -1,,1 1 +0,0 1 -1
