,N4RRATE SEN,zekken SEN,bang SEN,johnqt SEN,Zellsis SEN
Knight BLG,2 1 +1,3 2 +1,1 5 -4,3 1 +2,0 4 -4
rushia BLG,5 3 +2,2 3 -1,8 1 +7,6 3 +3,2 3 -1
whzy BLG,5 3 +2,6 4 +2,4 4 +0,1 3 -2,8 1 +7
Levius BLG,3 2 +1,4 2 +2,2 1 +1,3 3 +0,2 3 -1
nephh BLG,4 3 +1,2 2 +0,3 2 +1,5 3 +2,3 2 +1
