,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
stax T1,,3 Round 8 Dambi Rb Round 16 Francis Ivy Round 19 Persia Rb,,,,,1 Round 18 Francis Rb,,,,59,9,1
BuZz T1,,5 Round 1 Dambi Persia Round 5 Dambi Persia Round 7 Dambi Rb Round 8 Francis Persia Round 12 Rb Dambi,1 Round 2 Persia Francis Rb,,,,,,,,66,2,0
Meteor T1,,2 Round 11 Francis Dambi Round 13 Dambi Persia,1 Round 6 Francis Ivy Dambi,,,,,,,,61,1,1
iZu T1,,4 Round 1 Francis Rb Round 2 Dambi Ivy Round 7 Francis Persia Round 13 Rb Ivy,2 Round 3 Ivy Dambi Persia Round 10 Dambi Persia Rb,,,,,,,,67,0,0
DH T1,,3 Round 5 Francis Ivy Round 11 Rb Persia Round 19 Dambi Francis,,,,,,,,,57,0,0
Rb NS,,,2 Round 3 stax iZu BuZz Round 17 iZu BuZz stax,,,,,,,,40,1,0
Persia NS,,3 Round 4 BuZz stax Round 18 BuZz Meteor Round 19 DH Meteor,,,,,,,,,33,0,0
Dambi NS,,3 Round 7 DH iZu Round 9 iZu DH Round 15 stax iZu,1 Round 8 Meteor iZu BuZz,1 Round 16 iZu BuZz DH stax,,1 Round 16 stax,,,,,55,0,0
Francis NS,,,,,,,,,,,40,4,1
Ivy NS,,2 Round 9 Meteor stax Round 15 BuZz Meteor,2 Round 4 iZu DH Meteor Round 14 DH stax Meteor,,,,,,,,55,1,1
