,Ivy NS,Rb NS,Persia NS,Dambi NS,Francis NS
stax T1,,1 0 +1,1 0 +1,0 1 -1,1 0 +1
DH T1,,2 2 +0,,2 0 +2,
BuZz T1,3 1 +2,0 2 -2,0 1 -1,1 0 +1,2 1 +1
Meteor T1,,,1 0 +1,1 0 +1,3 0 +3
iZu T1,2 1 +1,1 1 +0,0 1 -1,2 3 -1,2 2 +0
