,Ivy NS,Rb NS,Persia NS,Dambi NS,Francis NS
stax T1,,1 0 +1,,,
DH T1,,,,1 0 +1,
BuZz T1,0 1 -1,,0 1 -1,,2 0 +2
Meteor T1,,,,1 0 +1,2 0 +2
iZu T1,1 1 +0,1 1 +0,0 1 -1,2 1 +1,2 0 +2
