,FengF TE,Biank TE,heybay TE,Kai TE,LuoK1ng TE
aspas LEV,2 1 +1,1 1 +0,1 0 +1,0 1 -1,1 0 +1
tex LEV,1 1 +0,1 0 +1,,,
C0M LEV,2 0 +2,1 0 +1,,,
Mazino LEV,,1 0 +1,,1 0 +1,1 0 +1
kiNgg LEV,,1 1 +0,,1 1 +0,0 1 -1
