,FengF TE,Biank TE,heybay TE,Kai TE,LuoK1ng TE
aspas LEV,1 0 +1,1 1 +0,1 0 +1,2 1 +1,
tex LEV,1 0 +1,1 0 +1,,1 1 +0,
C0M LEV,2 0 +2,,,0 1 -1,0 1 -1
Mazino LEV,0 2 -2,1 1 +0,,,0 1 -1
kiNgg LEV,,,,1 1 +0,0 1 -1
