,FengF TE,Biank TE,heybay TE,Kai TE,LuoK1ng TE
aspas LEV,0 2 -2,,,0 1 -1,
tex LEV,0 1 -1,,,0 1 -1,0 1 -1
C0M LEV,,0 1 -1,0 1 -1,,
Mazino LEV,,0 1 -1,1 0 +1,1 2 -1,
kiNgg LEV,,0 1 -1,1 1 +0,0 1 -1,0 1 -1
