,havoc FUR,raafa FUR,pryze FUR,Khalil FUR,heat FUR
trent G2,2 4 -2,0 2 -2,1 1 +0,0 3 -3,0 2 -2
valyn G2,1 4 -3,4 1 +3,2 1 +1,6 2 +4,3 2 +1
jawgemo G2,5 2 +3,1 1 +0,4 1 +3,3 2 +1,7 5 +2
leaf G2,7 2 +5,5 4 +1,4 4 +0,3 2 +1,2 3 -1
JonahP G2,1 5 -4,5 1 +4,3 1 +2,0 2 -2,3 1 +2
