,havoc FUR,raafa FUR,pryze FUR,Khalil FUR,heat FUR
trent G2,2 4 -2,,0 1 -1,1 0 +1,
valyn G2,1 2 -1,3 0 +3,,3 0 +3,1 0 +1
jawgemo G2,2 3 -1,,2 0 +2,1 0 +1,3 0 +3
leaf G2,,0 2 -2,0 1 -1,4 1 +3,
JonahP G2,1 1 +0,1 2 -1,,0 1 -1,
