,havoc FUR,raafa FUR,pryze FUR,Khalil FUR,heat FUR
trent G2,0 1 -1,,,,
valyn G2,0 2 -2,,,,
jawgemo G2,2 0 +2,,1 0 +1,1 0 +1,2 0 +2
leaf G2,1 0 +1,,,,
JonahP G2,0 1 -1,1 0 +1,,,
