,havoc FUR,raafa FUR,pryze FUR,Khalil FUR,heat FUR
trent G2,1 1 +0,,,,
valyn G2,0 1 -1,2 0 +2,,2 0 +2,1 0 +1
jawgemo G2,0 1 -1,,1 0 +1,,3 0 +3
leaf G2,,0 1 -1,,2 0 +2,
JonahP G2,1 1 +0,1 0 +1,,0 1 -1,
