,NoMan XLG,happywei XLG,Viva XLG,coconut XLG,Rarga XLG
PatMen PRX,0 1 -1,,,,0 1 -1
d4v41 PRX,,1 0 +1,,0 1 -1,
something PRX,,2 0 +2,1 0 +1,,1 0 +1
f0rsakeN PRX,0 1 -1,1 1 +0,,1 2 -1,0 1 -1
Jinggg PRX,1 1 +0,,2 0 +2,2 0 +2,0 1 -1
