,NoMan XLG,happywei XLG,Viva XLG,coconut XLG,Rarga XLG
PatMen PRX,0 1 -1,,,1 0 +1,1 1 +0
d4v41 PRX,0 1 -1,2 0 +2,,0 2 -2,
something PRX,2 0 +2,2 0 +2,1 0 +1,,1 1 +0
f0rsakeN PRX,1 2 -1,3 1 +2,,1 2 -1,1 2 -1
Jinggg PRX,1 2 -1,1 2 -1,2 0 +2,2 0 +2,0 1 -1
