,NoMan XLG,happywei XLG,Viva XLG,coconut XLG,Rarga XLG
PatMen PRX,2 4 -2,0 4 -4,1 0 +1,2 3 -1,1 2 -1
d4v41 PRX,4 4 +0,2 2 +0,1 1 +0,2 2 +0,2 2 +0
something PRX,4 3 +1,3 3 +0,5 1 +4,4 2 +2,3 2 +1
f0rsakeN PRX,2 2 +0,5 1 +4,3 1 +2,6 2 +4,7 6 +1
Jinggg PRX,2 5 -3,4 3 +1,4 3 +1,2 1 +1,3 1 +2
