,NoMan XLG,happywei XLG,Viva XLG,coconut XLG,Rarga XLG
PatMen PRX,2 2 +0,3 3 +0,2 2 +0,3 2 +1,2 4 -2
d4v41 PRX,1 5 -4,4 0 +4,4 3 +1,3 2 +1,2 4 -2
something PRX,6 4 +2,5 0 +5,4 3 +1,3 3 +0,3 2 +1
f0rsakeN PRX,4 2 +2,5 3 +2,1 3 -2,3 3 +0,5 2 +3
Jinggg PRX,7 4 +3,1 2 -1,5 3 +2,7 3 +4,4 2 +2
