,NoMan XLG,happywei XLG,Viva XLG,coconut XLG,Rarga XLG
PatMen PRX,,,,1 0 +1,1 0 +1
d4v41 PRX,0 1 -1,1 0 +1,,0 1 -1,
something PRX,2 0 +2,,,,0 1 -1
f0rsakeN PRX,1 1 +0,2 0 +2,,,1 1 +0
Jinggg PRX,0 1 -1,1 2 -1,,,
