,NoMan XLG,happywei XLG,Viva XLG,coconut XLG,Rarga XLG
PatMen PRX,4 6 -2,3 7 -4,3 2 +1,5 5 +0,3 6 -3
d4v41 PRX,5 9 -4,6 2 +4,5 4 +1,5 4 +1,4 6 -2
something PRX,10 7 +3,8 3 +5,9 4 +5,7 5 +2,6 4 +2
f0rsakeN PRX,6 4 +2,10 4 +6,4 4 +0,9 5 +4,12 8 +4
Jinggg PRX,9 9 +0,5 5 +0,9 6 +3,9 4 +5,7 3 +4
