,Rb NS,Persia NS,Dambi NS,Francis NS,Ivy NS
free1ng DRX,1 0 +1,0 1 -1,2 2 +0,0 1 -1,0 1 -1
HYUNMIN DRX,2 0 +2,1 1 +0,2 3 -1,4 0 +4,1 2 -1
Estrella DRX,1 0 +1,,2 1 +1,0 1 -1,0 2 -2
MaKo DRX,0 3 -3,0 3 -3,1 1 +0,0 3 -3,0 1 -1
Flashback DRX,1 1 +0,,5 1 +4,2 4 -2,1 1 +0
