,Rb NS,Persia NS,Dambi NS,Francis NS,Ivy NS
free1ng DRX,5 4 +1,1 1 +0,4 0 +4,3 2 +1,4 3 +1
HYUNMIN DRX,4 2 +2,2 3 -1,3 4 -1,2 0 +2,0 3 -3
Estrella DRX,1 1 +0,1 4 -3,2 3 -1,3 2 +1,1 3 -2
MaKo DRX,0 2 -2,3 3 +0,2 1 +1,5 1 +4,4 3 +1
Flashback DRX,5 3 +2,3 4 -1,2 0 +2,1 1 +0,5 4 +1
