,Rb NS,Persia NS,Dambi NS,Francis NS,Ivy NS
free1ng DRX,2 2 +0,2 1 +1,1 6 -5,0 2 -2,1 4 -3
HYUNMIN DRX,4 1 +3,3 5 -2,2 2 +0,4 2 +2,3 2 +1
Estrella DRX,4 3 +1,1 1 +0,1 3 -2,0 3 -3,1 3 -2
MaKo DRX,0 1 -1,1 2 -1,3 5 -2,2 3 -1,2 2 +0
Flashback DRX,0 2 -2,0 1 -1,2 3 -1,3 6 -3,3 1 +2
