,Rb NS,Persia NS,Dambi NS,Francis NS,Ivy NS
free1ng DRX,,,1 1 +0,,0 1 -1
HYUNMIN DRX,1 0 +1,1 0 +1,0 1 -1,,0 1 -1
Estrella DRX,,,,0 1 -1,
MaKo DRX,,0 1 -1,1 0 +1,,
Flashback DRX,,,1 1 +0,1 3 -2,1 0 +1
