,Rb NS,Persia NS,Dambi NS,Francis NS,Ivy NS
free1ng DRX,11 9 +2,7 6 +1,7 10 -3,6 8 -2,7 10 -3
HYUNMIN DRX,13 5 +8,10 12 -2,8 11 -3,12 4 +8,8 10 -2
Estrella DRX,9 7 +2,4 7 -3,7 8 -1,6 9 -3,6 11 -5
MaKo DRX,0 5 -5,7 8 -1,6 12 -6,10 9 +1,10 7 +3
Flashback DRX,6 7 -1,6 7 -1,10 5 +5,6 15 -9,11 6 +5
