,Rb NS,Persia NS,Dambi NS,Francis NS,Ivy NS
free1ng DRX,4 3 +1,4 4 +0,2 4 -2,3 4 -1,2 3 -1
HYUNMIN DRX,5 2 +3,5 4 +1,3 5 -2,6 2 +4,5 5 +0
Estrella DRX,4 3 +1,2 2 +0,4 2 +2,3 4 -1,4 5 -1
MaKo DRX,0 2 -2,3 3 +0,1 6 -5,3 5 -2,4 2 +2
Flashback DRX,1 2 -1,3 2 +1,6 2 +4,2 8 -6,3 1 +2
