,Rb NS,Persia NS,Dambi NS,Francis NS,Ivy NS
free1ng DRX,1 0 +1,0 1 -1,0 1 -1,0 1 -1,
HYUNMIN DRX,,0 1 -1,0 1 -1,4 0 +4,1 0 +1
Estrella DRX,1 0 +1,,1 0 +1,,0 2 -2
MaKo DRX,0 2 -2,,0 1 -1,0 2 -2,
Flashback DRX,,,3 0 +3,0 1 -1,
