,something PRX,Jinggg PRX,d4v41 PRX,f0rsakeN PRX,PatMen PRX
dos9 BME,3 3 +0,2 4 -2,3 3 +0,5 5 +0,2 1 +1
NcSlasher BME,0 5 -5,2 5 -3,3 4 -1,3 1 +2,4 3 +1
Shiro BME,6 5 +1,4 1 +3,2 5 -3,3 6 -3,4 1 +3
BerserX BME,4 1 +3,5 1 +4,2 4 -2,5 4 +1,2 7 -5
Famouz BME,2 6 -4,5 4 +1,6 2 +4,1 5 -4,3 1 +2
