,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Famouz BME,,3 Round 6 Jinggg d4v41 Round 11 d4v41 Jinggg Round 14 something d4v41,2 Round 8 f0rsakeN PatMen d4v41 Round 18 d4v41 PatMen something,,,1 Round 18 something,,,,,54,0,1
BerserX BME,,4 Round 10 something f0rsakeN Round 18 Jinggg f0rsakeN Round 20 f0rsakeN Jinggg Round 21 d4v41 something,1 Round 19 f0rsakeN Jinggg something,,,,,1 Round 21 something Jinggg d4v41,,,58,0,0
NcSlasher BME,,4 Round 13 f0rsakeN PatMen Round 17 Jinggg f0rsakeN Round 19 d4v41 PatMen Round 22 Jinggg PatMen,,,,1 Round 19 PatMen,,,,,29,6,0
Shiro BME,,4 Round 10 Jinggg PatMen Round 11 f0rsakeN something Round 12 something d4v41 Round 16 something PatMen,1 Round 1 Jinggg something PatMen,,,,,,,,60,1,0
dos9 BME,,2 Round 7 d4v41 Jinggg Round 16 f0rsakeN d4v41,1 Round 22 f0rsakeN something d4v41,,,,,,,,46,0,1
Jinggg PRX,,3 Round 8 dos9 NcSlasher Round 20 Famouz dos9 Round 21 NcSlasher dos9 Jinggg,,1 Round 5 Famouz dos9 BerserX NcSlasher,,,,,,,50,1,0
f0rsakeN PRX,,3 Round 4 dos9 Shiro Round 15 dos9 BerserX Round 17 Shiro Famouz,2 Round 1 Famouz dos9 Shiro Round 12 Famouz dos9 Shiro,1 Round 9 dos9 Famouz BerserX Shiro,,1 Round 12 Shiro,,,,,55,1,0
d4v41 PRX,,4 Round 3 BerserX Shiro Round 17 BerserX NcSlasher Round 18 dos9 Shiro Round 23 dos9 NcSlasher,1 Round 2 Shiro Famouz dos9,,,,,,,,51,0,0
PatMen PRX,,1 Round 6 BerserX dos9,,,,1 Round 10 Shiro,,,,,40,8,0
something PRX,,3 Round 1 BerserX NcSlasher Round 7 NcSlasher Famouz Round 19 Famouz dos9,,,,,,,,,73,0,0
