,something PRX,Jinggg PRX,d4v41 PRX,f0rsakeN PRX,PatMen PRX
dos9 BME,4 5 -1,7 7 +0,5 4 +1,6 10 -4,7 3 +4
NcSlasher BME,3 6 -3,6 9 -3,6 8 -2,8 1 +7,6 9 -3
Shiro BME,8 10 -2,5 5 +0,5 7 -2,7 10 -3,7 3 +4
BerserX BME,7 4 +3,9 6 +3,5 5 +0,9 6 +3,5 11 -6
Famouz BME,5 11 -6,8 7 +1,10 5 +5,3 8 -5,5 5 +0
