,pANcada LOUD,Virtyy LOUD,lukxo LOUD,cauanzin LOUD,RobbieBk LOUD
skuba NRG,3 2 +1,0 1 -1,5 3 +2,0 1 -1,1 1 +0
mada NRG,3 2 +1,4 0 +4,3 1 +2,3 4 -1,3 1 +2
Ethan NRG,4 1 +3,2 4 -2,1 4 -3,2 1 +1,1 0 +1
s0m NRG,1 2 -1,4 5 -1,,4 0 +4,4 3 +1
brawk NRG,4 2 +2,5 0 +5,1 4 -3,4 1 +3,5 1 +4
