,pANcada LOUD,Virtyy LOUD,lukxo LOUD,cauanzin LOUD,RobbieBk LOUD
skuba NRG,8 1 +7,4 1 +3,3 2 +1,2 6 -4,1 0 +1
mada NRG,3 5 -2,2 1 +1,4 1 +3,2 7 -5,4 0 +4
Ethan NRG,1 1 +0,3 4 -1,1 4 -3,1 1 +0,2 1 +1
s0m NRG,3 0 +3,5 3 +2,4 2 +2,2 4 -2,4 3 +1
brawk NRG,4 2 +2,4 6 -2,5 1 +4,4 1 +3,4 4 +0
