,pANcada LOUD,Virtyy LOUD,lukxo LOUD,cauanzin LOUD,RobbieBk LOUD
skuba NRG,,0 1 -1,0 1 -1,,
mada NRG,0 1 -1,1 0 +1,1 0 +1,0 2 -2,
Ethan NRG,,0 3 -3,0 1 -1,0 1 -1,
s0m NRG,,0 1 -1,,,1 0 +1
brawk NRG,,2 0 +2,,,1 0 +1
