,pANcada LOUD,Virtyy LOUD,lukxo LOUD,cauanzin LOUD,RobbieBk LOUD
skuba NRG,,2 1 +1,0 2 -2,,
mada NRG,0 2 -2,1 1 +0,3 0 +3,1 4 -3,1 0 +1
Ethan NRG,,2 3 -1,0 1 -1,0 1 -1,
s0m NRG,,0 3 -3,1 0 +1,,2 1 +1
brawk NRG,,3 2 +1,1 0 +1,,1 0 +1
