,pANcada LOUD,Virtyy LOUD,lukxo LOUD,cauanzin LOUD,RobbieBk LOUD
skuba NRG,,2 0 +2,0 1 -1,,
mada NRG,0 1 -1,0 1 -1,2 0 +2,1 2 -1,1 0 +1
Ethan NRG,,2 0 +2,,,
s0m NRG,,0 2 -2,1 0 +1,,1 1 +0
brawk NRG,,1 2 -1,1 0 +1,,
