,pANcada LOUD,Virtyy LOUD,lukxo LOUD,cauanzin LOUD,RobbieBk LOUD
skuba NRG,11 3 +8,4 2 +2,8 5 +3,2 7 -5,2 1 +1
mada NRG,6 7 -1,6 1 +5,7 2 +5,5 11 -6,7 1 +6
Ethan NRG,5 2 +3,5 8 -3,2 8 -6,3 2 +1,3 1 +2
s0m NRG,4 2 +2,9 8 +1,4 2 +2,6 4 +2,8 6 +2
brawk NRG,8 4 +4,9 6 +3,6 5 +1,8 2 +6,9 5 +4
