,lukxo LOUD,v1nny LOUD,cauanzin LOUD,pANcada LOUD,dgzin LOUD
eeiu 100T,,,,,
Boostio 100T,,0 1 -1,1 0 +1,1 0 +1,0 2 -2
Cryocells 100T,,,,,2 0 +2
zander 100T,0 2 -2,,,,1 3 -2
Asuna 100T,0 2 -2,,0 1 -1,,1 2 -1
