,lukxo LOUD,v1nny LOUD,cauanzin LOUD,pANcada LOUD,dgzin LOUD
eeiu 100T,,,,,
Boostio 100T,,,,,0 1 -1
Cryocells 100T,,,,1 0 +1,1 0 +1
zander 100T,,,,,
Asuna 100T,,,1 0 +1,,1 0 +1
