,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Asuna 100T,,3 Round 5 cauanzin dgzin Round 9 dgzin cauanzin Round 19 cauanzin lukxo,1 Round 17 dgzin cauanzin v1nny,,,,1 Round 17 pANcada v1nny,,,,59,9,1
Boostio 100T,,3 Round 1 dgzin cauanzin Round 13 v1nny cauanzin Round 24 v1nny lukxo,,,,,,,,,39,1,0
eeiu 100T,,3 Round 1 lukxo pANcada Round 4 dgzin lukxo Round 16 v1nny pANcada,1 Round 12 v1nny lukxo pANcada,,,1 Round 1 pANcada,,,,,44,0,0
Cryocells 100T,,2 Round 2 v1nny pANcada Round 13 dgzin lukxo,4 Round 7 v1nny dgzin pANcada Round 16 cauanzin lukxo dgzin Round 18 cauanzin dgzin v1nny Round 22 cauanzin lukxo v1nny,1 Round 20 dgzin v1nny cauanzin pANcada,1 Round 14 lukxo v1nny pANcada cauanzin dgzin,,,,,,70,0,0
zander 100T,,2 Round 15 pANcada v1nny Round 24 dgzin pANcada,1 Round 23 pANcada lukxo v1nny,,,1 Round 18 pANcada,,,,,43,0,0
pANcada LOUD,,3 Round 1 Boostio Cryocells Round 7 zander Boostio Round 9 Cryocells zander,1 Round 5 eeiu zander Asuna,1 Round 18 Cryocells Boostio Asuna zander,,,,,,,86,1,0
v1nny LOUD,,2 Round 3 Boostio Asuna Round 17 Cryocells eeiu,,,,,,,,,33,6,0
cauanzin LOUD,,4 Round 2 Asuna zander Round 6 Boostio Cryocells Round 8 Cryocells eeiu Round 12 Cryocells zander,,,,,,,,,67,2,0
dgzin LOUD,,5 Round 3 Cryocells zander Round 4 Cryocells zander Round 10 eeiu zander Round 11 zander Boostio Round 23 Cryocells eeiu,,,,,,,,,46,0,0
lukxo LOUD,,6 Round 2 Boostio Cryocells Round 6 Asuna eeiu Round 8 Asuna zander Round 9 Boostio Asuna Round 11 Cryocells eeiu Round 21 Asuna zander,1 Round 15 eeiu zander Asuna,,,,,,,,83,0,1
