,icy EG,supamen EG,NaturE EG,yay EG,Derrek EG
zekken SEN,6 2 +4,6 1 +5,4 0 +4,4 4 +0,5 2 +3
johnqt SEN,2 0 +2,4 1 +3,1 0 +1,3 3 +0,3 3 +0
N4RRATE SEN,4 0 +4,0 6 -6,4 3 +1,0 1 -1,2 3 -1
Zellsis SEN,3 1 +2,5 0 +5,2 0 +2,2 2 +0,3 4 -1
bang SEN,1 2 -1,,4 2 +2,6 2 +4,1 3 -2
