,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Zellsis SEN,,1 Round 18 yay NaturE,1 Round 4 yay supamen NaturE,,,,,,,,53,0,0
johnqt SEN,,1 Round 13 Derrek NaturE,,,,,,,,,45,0,1
bang SEN,,5 Round 6 supamen NaturE Round 8 icy yay Round 10 yay icy Round 15 yay supamen Round 20 NaturE yay,1 Round 12 supamen icy yay,,,1 Round 11 supamen,,,,,54,0,1
zekken SEN,,3 Round 6 icy yay Round 9 NaturE Derrek Round 11 yay Derrek,1 Round 8 supamen Derrek NaturE,,,,,,,,54,3,1
N4RRATE SEN,,5 Round 5 icy yay Round 10 supamen NaturE Round 16 yay NaturE Round 17 yay NaturE Round 21 icy Derrek,2 Round 2 icy NaturE supamen Round 7 supamen icy yay,1 Round 1 icy NaturE yay supamen,,,,,,,61,2,0
supamen EG,,1 Round 19 zekken Zellsis,1 Round 13 N4RRATE zekken johnqt,1 Round 16 johnqt N4RRATE bang Zellsis,,,1 Round 16 Zellsis bang,,,,46,1,1
yay EG,,1 Round 15 zekken N4RRATE,,1 Round 7 zekken Zellsis johnqt N4RRATE,,,,,,,30,1,0
Derrek EG,,1 Round 9 bang N4RRATE,,,,1 Round 7 N4RRATE,,,,,49,3,0
NaturE EG,,2 Round 8 bang N4RRATE Round 15 bang Zellsis,1 Round 18 zekken johnqt N4RRATE,,,,,,,,50,1,0
icy EG,,1 Round 11 N4RRATE johnqt,,1 Round 4 johnqt N4RRATE zekken bang,,,,,,,45,0,1
