,icy EG,supamen EG,NaturE EG,yay EG,Derrek EG
zekken SEN,4 2 +2,2 3 -1,2 2 +0,3 4 -1,6 2 +4
johnqt SEN,1 3 -2,2 3 -1,3 3 +0,2 1 +1,3 1 +2
N4RRATE SEN,6 3 +3,4 6 -2,6 2 +4,5 2 +3,1 2 -1
Zellsis SEN,2 1 +1,2 2 +0,4 3 +1,3 2 +1,4 4 +0
bang SEN,3 4 -1,6 1 +5,2 3 -1,5 0 +5,2 2 +0
