,icy EG,supamen EG,NaturE EG,yay EG,Derrek EG
zekken SEN,10 4 +6,8 4 +4,6 2 +4,7 8 -1,11 4 +7
johnqt SEN,3 3 +0,6 4 +2,4 3 +1,5 4 +1,6 4 +2
N4RRATE SEN,10 3 +7,4 12 -8,10 5 +5,5 3 +2,3 5 -2
Zellsis SEN,5 2 +3,7 2 +5,6 3 +3,5 4 +1,7 8 -1
bang SEN,4 6 -2,6 1 +5,6 5 +1,11 2 +9,3 5 -2
