,icy EG,supamen EG,NaturE EG,yay EG,Derrek EG
zekken SEN,8 2 +6,1 0 +1,,2 3 -1,
johnqt SEN,1 0 +1,,,1 0 +1,1 0 +1
N4RRATE SEN,3 0 +3,,,,
Zellsis SEN,1 1 +0,1 0 +1,1 1 +0,1 0 +1,1 1 +0
bang SEN,1 2 -1,,,3 1 +2,0 1 -1
