,Flashback DRX,BeYN DRX,MaKo DRX,HYUNMIN DRX,free1ng DRX
keiko TL,1 1 +0,,,2 0 +2,1 0 +1
paTiTek TL,1 0 +1,,,,0 1 -1
nAts TL,,,,0 1 -1,
trexx TL,,0 1 -1,,1 1 +0,
kamo TL,1 1 +0,1 0 +1,2 2 +0,0 1 -1,0 2 -2
