,Flashback DRX,BeYN DRX,MaKo DRX,HYUNMIN DRX,free1ng DRX
keiko TL,0 2 -2,,,,
paTiTek TL,0 1 -1,,,,
nAts TL,0 2 -2,,,,
trexx TL,0 1 -1,,,,
kamo TL,0 2 -2,,,,
