,Flashback DRX,BeYN DRX,MaKo DRX,HYUNMIN DRX,free1ng DRX
keiko TL,1 1 +0,,,3 0 +3,2 0 +2
paTiTek TL,1 1 +0,0 1 -1,,0 2 -2,0 1 -1
nAts TL,2 0 +2,1 0 +1,,0 2 -2,0 1 -1
trexx TL,0 1 -1,1 1 +0,0 1 -1,1 1 +0,0 1 -1
kamo TL,2 3 -1,2 2 +0,3 2 +1,0 2 -2,0 2 -2
