,Flashback DRX,BeYN DRX,MaKo DRX,HYUNMIN DRX,free1ng DRX
keiko TL,,,,1 0 +1,1 0 +1
paTiTek TL,0 1 -1,0 1 -1,,0 2 -2,
nAts TL,2 0 +2,1 0 +1,,0 1 -1,0 1 -1
trexx TL,0 1 -1,1 0 +1,0 1 -1,,0 1 -1
kamo TL,1 2 -1,1 2 -1,1 0 +1,0 1 -1,
