,Flashback DRX,BeYN DRX,MaKo DRX,HYUNMIN DRX,free1ng DRX
keiko TL,4 6 -2,5 2 +3,1 3 -2,2 4 -2,5 1 +4
paTiTek TL,4 4 +0,0 3 -3,1 3 -2,3 1 +2,4 5 -1
nAts TL,0 3 -3,,1 3 -2,1 2 -1,1 2 -1
trexx TL,2 4 -2,4 2 +2,2 4 -2,3 2 +1,1 1 +0
kamo TL,2 4 -2,4 2 +2,5 4 +1,3 2 +1,3 4 -1
