,Flashback DRX,BeYN DRX,MaKo DRX,HYUNMIN DRX,free1ng DRX
keiko TL,4 2 +2,3 4 -1,3 4 -1,3 3 +0,2 2 +0
paTiTek TL,2 3 -1,3 3 +0,2 3 -1,2 4 -2,4 3 +1
nAts TL,5 4 +1,4 1 +3,2 3 -1,1 2 -1,2 3 -1
trexx TL,0 4 -4,1 6 -5,1 2 -1,2 5 -3,2 2 +0
kamo TL,3 3 +0,2 5 -3,2 5 -3,3 4 -1,3 2 +1
