,CLZ ZETA,TenTen ZETA,Dep ZETA,SugarZ3ro ZETA,Xdll ZETA
JitBoyS TLN,2 4 -2,1 1 +0,3 4 -1,3 2 +1,2 1 +1
Killua TLN,5 4 +1,1 2 -1,1 4 -3,4 4 +0,4 2 +2
thyy TLN,1 0 +1,4 4 +0,5 5 +0,3 3 +0,2 2 +0
primmie TLN,4 1 +3,6 0 +6,4 4 +0,4 3 +1,5 3 +2
Crws TLN,5 1 +4,5 1 +4,4 2 +2,3 2 +1,4 3 +1
