,CLZ ZETA,TenTen ZETA,Dep ZETA,SugarZ3ro ZETA,Xdll ZETA
JitBoyS TLN,2 1 +1,4 1 +3,4 3 +1,5 2 +3,4 5 -1
Killua TLN,2 1 +1,3 3 +0,6 2 +4,4 3 +1,3 1 +2
thyy TLN,2 3 -1,5 1 +4,2 5 -3,2 3 -1,0 4 -4
primmie TLN,3 3 +0,1 0 +1,3 2 +1,4 2 +2,5 2 +3
Crws TLN,7 1 +6,3 1 +2,0 3 -3,1 3 -2,2 4 -2
