,CLZ ZETA,TenTen ZETA,Dep ZETA,SugarZ3ro ZETA,Xdll ZETA
JitBoyS TLN,,3 0 +3,1 0 +1,,2 0 +2
Killua TLN,,1 3 -2,,,1 0 +1
thyy TLN,,2 2 +0,2 0 +2,3 1 +2,0 1 -1
primmie TLN,,2 0 +2,1 1 +0,1 0 +1,2 0 +2
Crws TLN,1 0 +1,4 0 +4,1 0 +1,1 0 +1,0 1 -1
