,CLZ ZETA,TenTen ZETA,Dep ZETA,SugarZ3ro ZETA,Xdll ZETA
JitBoyS TLN,,1 0 +1,,,1 0 +1
Killua TLN,,0 1 -1,,,1 0 +1
thyy TLN,,0 1 -1,2 0 +2,2 0 +2,0 1 -1
primmie TLN,,1 0 +1,1 1 +0,,
Crws TLN,,3 0 +3,1 0 +1,1 0 +1,0 1 -1
