,CLZ ZETA,TenTen ZETA,Dep ZETA,SugarZ3ro ZETA,Xdll ZETA
JitBoyS TLN,4 5 -1,5 2 +3,7 7 +0,8 4 +4,6 6 +0
Killua TLN,7 5 +2,4 5 -1,7 6 +1,8 7 +1,7 3 +4
thyy TLN,3 3 +0,9 5 +4,7 10 -3,5 6 -1,2 6 -4
primmie TLN,7 4 +3,7 0 +7,7 6 +1,8 5 +3,10 5 +5
Crws TLN,12 2 +10,8 2 +6,4 5 -1,4 5 -1,6 7 -1
