,CLZ ZETA,TenTen ZETA,Dep ZETA,SugarZ3ro ZETA,Xdll ZETA
JitBoyS TLN,,2 0 +2,1 0 +1,,1 0 +1
Killua TLN,,1 2 -1,,,
thyy TLN,,2 1 +1,,1 1 +0,
primmie TLN,,1 0 +1,,1 0 +1,2 0 +2
Crws TLN,1 0 +1,1 0 +1,,,
